Temperature,Daylight,Precipitation,Wind,Season,CanSwim
Cold,Short,Wet,Breezy,Autumn,No
Warm,Short,Moderate,Breezy,Autumn,No
Hot,Short,Dry,Calm,Autumn,Yes
Cold,Long,Wet,Breezy,Summer,No
Warm,Medium,Moderate,Calm,Spring,No
Hot,Short,Moderate,Breezy,Summer,No
Hot,Short,Dry,Windy,Winter,No
Hot,Long,Moderate,Windy,Winter,No
Cold,Medium,Dry,Windy,Winter,No
Cold,Medium,Wet,Breezy,Winter,No
Warm,Medium,Wet,Breezy,Spring,No
Cold,Medium,Moderate,Windy,Summer,No
Hot,Medium,Moderate,Breezy,Summer,No
Cold,Medium,Moderate,Breezy,Autumn,No
Hot,Long,Moderate,Calm,Spring,No
Warm,Long,Dry,Windy,Summer,No
Hot,Short,Wet,Windy,Spring,No
Hot,Long,Moderate,Calm,Summer,No
Warm,Long,Moderate,Windy,Spring,Yes
Warm,Long,Wet,Breezy,Summer,No
Hot,Short,Dry,Windy,Spring,Yes
Warm,Long,Wet,Breezy,Autumn,No
Cold,Long,Dry,Windy,Winter,No
Warm,Short,Wet,Breezy,Spring,No
Warm,Long,Moderate,Calm,Summer,No
Warm,Short,Wet,Breezy,Winter,No
Hot,Medium,Wet,Breezy,Spring,No
Warm,Short,Wet,Calm,Summer,No
Cold,Medium,Moderate,Windy,Autumn,No
Hot,Long,Wet,Breezy,Autumn,No
Hot,Short,Moderate,Calm,Summer,No
Cold,Medium,Moderate,Breezy,Spring,Yes
Hot,Medium,Moderate,Breezy,Winter,No
Hot,Medium,Wet,Windy,Winter,No
Warm,Short,Wet,Windy,Summer,No
Hot,Short,Wet,Calm,Spring,No
Warm,Short,Wet,Windy,Winter,No
Hot,Long,Dry,Calm,Spring,No
Hot,Long,Dry,Breezy,Winter,Yes
Warm,Medium,Wet,Calm,Winter,No
Cold,Medium,Moderate,Calm,Autumn,No
Warm,Medium,Wet,Windy,Summer,No
Warm,Short,Dry,Windy,Spring,No
Hot,Long,Wet,Breezy,Winter,No
Hot,Long,Moderate,Windy,Spring,No
Hot,Short,Wet,Windy,Spring,No
Warm,Medium,Wet,Breezy,Summer,No
Warm,Medium,Dry,Windy,Winter,No
Hot,Medium,Dry,Windy,Summer,No
Warm,Short,Moderate,Calm,Spring,No
Hot,Short,Wet,Windy,Spring,Yes
Hot,Long,Wet,Windy,Spring,No
Cold,Short,Wet,Breezy,Autumn,No
Hot,Short,Dry,Calm,Autumn,No
Hot,Medium,Moderate,Calm,Spring,No
Cold,Short,Moderate,Windy,Spring,No
Hot,Short,Wet,Calm,Winter,No
Hot,Medium,Dry,Windy,Autumn,No
Warm,Medium,Wet,Windy,Spring,No
Cold,Long,Dry,Breezy,Summer,No
Hot,Medium,Moderate,Breezy,Summer,No
Warm,Short,Dry,Breezy,Autumn,No
Cold,Short,Moderate,Windy,Spring,No
Warm,Short,Wet,Calm,Summer,No
Warm,Medium,Dry,Calm,Spring,No
Cold,Medium,Wet,Windy,Winter,No
Hot,Medium,Wet,Calm,Winter,No
Cold,Medium,Wet,Windy,Autumn,No
Hot,Medium,Wet,Breezy,Spring,No
Cold,Short,Wet,Calm,Winter,No
Hot,Short,Dry,Calm,Spring,No
Hot,Long,Wet,Breezy,Spring,No
Warm,Medium,Dry,Windy,Summer,No
Hot,Long,Moderate,Calm,Summer,No
Hot,Medium,Wet,Windy,Autumn,No
Hot,Medium,Wet,Windy,Spring,No
Cold,Medium,Wet,Calm,Winter,No
Hot,Long,Wet,Breezy,Winter,No
Hot,Short,Moderate,Breezy,Spring,Yes
Hot,Short,Moderate,Calm,Autumn,No
Cold,Long,Dry,Breezy,Winter,No
Cold,Short,Wet,Breezy,Summer,No
Hot,Long,Wet,Calm,Summer,No
Hot,Long,Moderate,Calm,Summer,No
Hot,Medium,Wet,Calm,Spring,No
Hot,Long,Dry,Breezy,Summer,No
Warm,Long,Wet,Windy,Autumn,No
Hot,Long,Wet,Windy,Summer,No
Cold,Long,Moderate,Calm,Spring,No
Hot,Long,Moderate,Windy,Spring,No
Warm,Medium,Dry,Windy,Spring,No
Hot,Long,Wet,Windy,Spring,No
Cold,Medium,Moderate,Windy,Summer,No
Warm,Long,Moderate,Calm,Winter,No
Cold,Long,Wet,Calm,Summer,No
Hot,Long,Moderate,Windy,Autumn,No
Hot,Long,Moderate,Calm,Spring,No
Warm,Short,Moderate,Calm,Summer,No
Hot,Medium,Moderate,Windy,Summer,No
Hot,Long,Moderate,Windy,Spring,No
Hot,Short,Dry,Calm,Summer,No
Hot,Short,Moderate,Windy,Summer,No
Hot,Medium,Wet,Windy,Spring,No
Hot,Medium,Wet,Breezy,Autumn,No
Warm,Medium,Wet,Breezy,Winter,No
Hot,Medium,Wet,Breezy,Autumn,No
Hot,Long,Wet,Calm,Autumn,No
Cold,Medium,Wet,Breezy,Autumn,No
Hot,Medium,Dry,Calm,Winter,No
Hot,Long,Wet,Calm,Autumn,No
Cold,Medium,Wet,Breezy,Summer,No
Hot,Short,Wet,Windy,Winter,No
Hot,Long,Wet,Breezy,Summer,No
Hot,Short,Wet,Windy,Summer,No
Hot,Long,Wet,Breezy,Autumn,No
Cold,Medium,Dry,Calm,Summer,No
Warm,Long,Wet,Calm,Autumn,No
Warm,Short,Dry,Calm,Summer,No
Cold,Short,Wet,Calm,Summer,No
Hot,Medium,Wet,Breezy,Spring,No
Warm,Medium,Wet,Windy,Summer,Yes
Cold,Medium,Moderate,Windy,Autumn,No
Cold,Long,Moderate,Breezy,Spring,No
Warm,Short,Wet,Breezy,Spring,No
Hot,Long,Dry,Windy,Winter,No
Hot,Long,Wet,Calm,Winter,No
Warm,Medium,Moderate,Breezy,Summer,No
Cold,Short,Dry,Calm,Autumn,No
Warm,Medium,Moderate,Breezy,Spring,No
Warm,Short,Dry,Calm,Summer,No
Cold,Short,Wet,Breezy,Winter,No
Cold,Long,Wet,Breezy,Summer,No
Cold,Short,Wet,Breezy,Spring,No
Hot,Short,Moderate,Calm,Winter,No
Hot,Long,Wet,Calm,Autumn,No
Warm,Medium,Wet,Calm,Summer,Yes
Hot,Long,Wet,Calm,Summer,No
Warm,Long,Moderate,Windy,Summer,No
Hot,Short,Moderate,Windy,Autumn,No
Hot,Short,Wet,Breezy,Autumn,No
Cold,Long,Wet,Calm,Summer,No
Hot,Short,Dry,Breezy,Summer,No
Hot,Short,Moderate,Calm,Autumn,No
Hot,Long,Moderate,Calm,Summer,Yes
Cold,Short,Wet,Breezy,Summer,No
Hot,Long,Dry,Calm,Autumn,No
Cold,Long,Moderate,Breezy,Spring,No
Warm,Medium,Moderate,Windy,Spring,No
Cold,Short,Moderate,Windy,Summer,No
Warm,Long,Wet,Windy,Autumn,Yes
Hot,Medium,Wet,Windy,Summer,No
Cold,Short,Wet,Breezy,Winter,No
Hot,Medium,Dry,Breezy,Summer,No
Hot,Medium,Wet,Breezy,Summer,Yes
Warm,Long,Wet,Windy,Spring,No
Hot,Medium,Moderate,Breezy,Winter,No
Cold,Medium,Dry,Windy,Winter,No
Cold,Long,Wet,Breezy,Spring,No
Hot,Short,Wet,Calm,Summer,No
Warm,Short,Wet,Calm,Autumn,No
Cold,Long,Moderate,Calm,Spring,No
Cold,Medium,Moderate,Windy,Autumn,No
Hot,Long,Moderate,Breezy,Autumn,No
Hot,Medium,Wet,Calm,Winter,No
Cold,Short,Wet,Breezy,Winter,No
Hot,Short,Wet,Breezy,Autumn,No
Warm,Medium,Moderate,Calm,Summer,No
Warm,Short,Dry,Breezy,Winter,No
Cold,Long,Wet,Breezy,Spring,No
Hot,Short,Moderate,Breezy,Autumn,No
Warm,Medium,Wet,Breezy,Summer,No
Warm,Medium,Moderate,Breezy,Summer,No
Warm,Short,Dry,Windy,Summer,Yes
Warm,Short,Wet,Calm,Autumn,No
Hot,Medium,Dry,Calm,Autumn,No
Hot,Short,Wet,Breezy,Winter,No
Hot,Long,Wet,Windy,Summer,No
Hot,Long,Wet,Calm,Winter,No
Hot,Short,Wet,Calm,Spring,No
Cold,Short,Moderate,Windy,Summer,No
Hot,Short,Wet,Calm,Winter,No
Warm,Short,Wet,Breezy,Autumn,No
Hot,Short,Wet,Windy,Winter,No
Warm,Long,Dry,Calm,Winter,No
Warm,Long,Moderate,Calm,Winter,No
Hot,Short,Moderate,Breezy,Spring,No
Cold,Medium,Wet,Windy,Spring,No
Hot,Long,Dry,Windy,Spring,No
Hot,Long,Wet,Calm,Summer,No
Hot,Long,Dry,Calm,Spring,No
Hot,Medium,Dry,Windy,Spring,No
Hot,Medium,Wet,Breezy,Autumn,No
Hot,Medium,Wet,Breezy,Summer,No
Hot,Short,Wet,Windy,Spring,No
Hot,Short,Dry,Calm,Winter,No
Warm,Medium,Dry,Calm,Winter,No
Warm,Short,Dry,Windy,Spring,No
Cold,Short,Wet,Windy,Autumn,No
Hot,Medium,Wet,Windy,Autumn,No
Warm,Short,Wet,Calm,Winter,No
Warm,Short,Dry,Breezy,Spring,No
Hot,Medium,Wet,Windy,Spring,No
Warm,Medium,Moderate,Windy,Spring,No
Warm,Long,Dry,Calm,Spring,No
Hot,Medium,Wet,Windy,Winter,No
Cold,Short,Moderate,Calm,Summer,No
Hot,Medium,Moderate,Windy,Winter,No
Hot,Medium,Wet,Breezy,Winter,No
Cold,Long,Wet,Windy,Spring,No
Hot,Short,Wet,Breezy,Summer,No
Hot,Long,Wet,Calm,Winter,No
Cold,Long,Moderate,Calm,Winter,No
Warm,Long,Wet,Windy,Summer,No
Hot,Short,Wet,Calm,Spring,No
Warm,Long,Wet,Windy,Spring,Yes
Cold,Medium,Dry,Breezy,Autumn,No
Hot,Long,Moderate,Windy,Summer,Yes
Cold,Short,Moderate,Windy,Winter,No
Warm,Long,Dry,Calm,Summer,No
Hot,Short,Wet,Windy,Spring,No
Hot,Long,Wet,Calm,Spring,No
Hot,Medium,Wet,Calm,Winter,No
Hot,Short,Dry,Windy,Winter,No
Warm,Medium,Moderate,Windy,Spring,No
Warm,Long,Wet,Calm,Spring,No
Hot,Short,Wet,Breezy,Autumn,No
Cold,Short,Dry,Breezy,Spring,No
Hot,Long,Dry,Windy,Autumn,Yes
Hot,Long,Wet,Breezy,Spring,No
Cold,Medium,Moderate,Windy,Winter,Yes
Cold,Long,Wet,Breezy,Spring,No
Hot,Medium,Wet,Breezy,Summer,No
Hot,Medium,Wet,Windy,Spring,No
Warm,Long,Wet,Windy,Winter,No
Warm,Short,Dry,Calm,Summer,No
Hot,Short,Dry,Calm,Winter,No
Hot,Short,Moderate,Breezy,Summer,No
Warm,Medium,Wet,Calm,Spring,No
Hot,Short,Dry,Breezy,Winter,No
Hot,Long,Moderate,Breezy,Winter,Yes
Warm,Long,Wet,Windy,Autumn,No
Hot,Long,Dry,Breezy,Summer,No
Cold,Short,Wet,Windy,Spring,No
Cold,Medium,Wet,Windy,Winter,No
Hot,Short,Wet,Breezy,Autumn,No
Cold,Short,Dry,Calm,Winter,Yes
Warm,Long,Dry,Calm,Winter,No
Hot,Long,Moderate,Windy,Summer,No
Warm,Long,Dry,Windy,Summer,No
Cold,Long,Moderate,Breezy,Summer,No
Hot,Medium,Dry,Calm,Summer,No
Hot,Short,Dry,Windy,Autumn,No
Hot,Long,Moderate,Breezy,Autumn,No
Hot,Long,Wet,Breezy,Spring,No
Hot,Long,Dry,Calm,Summer,No
Hot,Long,Wet,Calm,Summer,No
Warm,Long,Moderate,Breezy,Summer,No
Cold,Medium,Wet,Windy,Summer,No
Hot,Long,Wet,Breezy,Summer,No
Cold,Medium,Wet,Calm,Summer,No
Warm,Short,Moderate,Windy,Autumn,No
Hot,Medium,Moderate,Windy,Summer,Yes
Hot,Medium,Wet,Calm,Winter,No
Warm,Short,Dry,Breezy,Winter,Yes
Cold,Short,Moderate,Windy,Autumn,No
Hot,Medium,Moderate,Calm,Winter,No
Warm,Medium,Moderate,Windy,Spring,No
Hot,Long,Wet,Breezy,Autumn,No
Hot,Short,Moderate,Windy,Spring,No
Warm,Long,Dry,Calm,Winter,No
Cold,Short,Wet,Breezy,Spring,No
Hot,Long,Wet,Calm,Winter,No
Warm,Medium,Dry,Calm,Autumn,No
Cold,Long,Moderate,Calm,Autumn,No
Cold,Medium,Dry,Breezy,Summer,No
Warm,Short,Wet,Breezy,Winter,No
Hot,Long,Dry,Windy,Summer,No
Warm,Long,Wet,Breezy,Spring,No
Warm,Medium,Dry,Breezy,Winter,No
Hot,Short,Wet,Windy,Winter,No
Cold,Short,Wet,Breezy,Spring,No
Hot,Medium,Moderate,Calm,Winter,No
Hot,Medium,Dry,Windy,Autumn,No
Cold,Short,Dry,Breezy,Spring,No
Warm,Medium,Dry,Windy,Summer,No
Warm,Medium,Wet,Windy,Autumn,No
Warm,Medium,Dry,Breezy,Winter,No
Hot,Short,Wet,Breezy,Summer,Yes
Hot,Long,Wet,Calm,Autumn,No
Warm,Medium,Moderate,Breezy,Winter,No
Hot,Long,Moderate,Windy,Winter,No
Cold,Medium,Wet,Windy,Winter,No
Hot,Medium,Dry,Breezy,Spring,No
Warm,Medium,Moderate,Calm,Spring,No
Hot,Short,Wet,Windy,Winter,No
Cold,Medium,Moderate,Breezy,Winter,No
Warm,Long,Wet,Calm,Summer,No
Cold,Short,Wet,Calm,Winter,No
Warm,Long,Moderate,Breezy,Spring,No
Cold,Long,Wet,Windy,Winter,No
Warm,Medium,Moderate,Windy,Winter,No
Hot,Long,Dry,Calm,Autumn,No
Warm,Medium,Moderate,Breezy,Summer,No
Hot,Short,Moderate,Breezy,Winter,No
Warm,Short,Wet,Calm,Summer,No
Warm,Long,Moderate,Calm,Spring,Yes
Hot,Short,Wet,Windy,Spring,No
Hot,Short,Wet,Calm,Autumn,No
Hot,Short,Wet,Calm,Winter,No
Hot,Medium,Moderate,Breezy,Spring,No
Hot,Medium,Wet,Windy,Winter,No
Warm,Medium,Wet,Calm,Summer,No
Hot,Short,Wet,Calm,Autumn,No
Hot,Medium,Dry,Calm,Winter,No
Hot,Medium,Wet,Windy,Summer,No
Hot,Medium,Dry,Calm,Summer,No
Hot,Short,Dry,Breezy,Summer,No
Cold,Short,Wet,Windy,Winter,No
Warm,Short,Moderate,Windy,Spring,Yes
Hot,Long,Dry,Breezy,Winter,No
Warm,Short,Wet,Windy,Winter,No
Hot,Medium,Moderate,Windy,Winter,No
Cold,Short,Dry,Breezy,Autumn,No
Cold,Medium,Wet,Windy,Autumn,No
Hot,Long,Wet,Calm,Spring,No
Cold,Medium,Wet,Windy,Spring,No
Warm,Medium,Wet,Calm,Spring,No
Hot,Medium,Moderate,Breezy,Spring,No
Warm,Short,Wet,Breezy,Summer,No
Warm,Long,Wet,Calm,Summer,No
Warm,Long,Dry,Breezy,Spring,No
Cold,Long,Moderate,Breezy,Summer,No
Cold,Short,Moderate,Windy,Winter,No
Cold,Medium,Wet,Breezy,Summer,No
Warm,Medium,Dry,Breezy,Winter,No
Warm,Medium,Moderate,Windy,Spring,No
Warm,Short,Wet,Windy,Summer,No
Cold,Long,Wet,Windy,Spring,No
Hot,Short,Moderate,Breezy,Autumn,No
Hot,Short,Moderate,Windy,Winter,No
Hot,Long,Wet,Calm,Autumn,No
Warm,Short,Moderate,Breezy,Winter,No
Cold,Long,Moderate,Windy,Spring,No
Hot,Medium,Wet,Breezy,Summer,Yes
Cold,Long,Dry,Windy,Winter,No
Hot,Short,Wet,Calm,Spring,No
Cold,Long,Wet,Calm,Winter,No
Hot,Long,Dry,Breezy,Autumn,Yes
Hot,Medium,Wet,Calm,Winter,No
Hot,Short,Wet,Windy,Autumn,Yes
Cold,Short,Wet,Calm,Spring,No
Hot,Medium,Wet,Breezy,Spring,No
Warm,Long,Moderate,Windy,Spring,Yes
Hot,Short,Dry,Windy,Summer,Yes
Cold,Short,Moderate,Breezy,Spring,No
Hot,Medium,Wet,Windy,Spring,No
Hot,Medium,Dry,Breezy,Winter,No
Warm,Medium,Dry,Calm,Summer,No
Cold,Long,Wet,Calm,Winter,No
Cold,Short,Wet,Windy,Summer,No
Hot,Long,Wet,Breezy,Winter,No
Cold,Short,Dry,Breezy,Autumn,No
Hot,Medium,Wet,Calm,Autumn,No
Cold,Long,Wet,Calm,Spring,No
Cold,Medium,Wet,Windy,Autumn,No
Hot,Short,Dry,Windy,Autumn,No
Hot,Long,Wet,Windy,Summer,No
Hot,Medium,Dry,Calm,Winter,No
Hot,Long,Moderate,Calm,Summer,No
Cold,Long,Wet,Calm,Summer,No
Cold,Medium,Wet,Breezy,Autumn,No
Hot,Long,Moderate,Windy,Summer,No
Warm,Medium,Moderate,Breezy,Winter,No
Hot,Long,Wet,Calm,Autumn,No
Warm,Short,Wet,Breezy,Summer,No
Hot,Medium,Dry,Windy,Autumn,No
Hot,Long,Moderate,Windy,Summer,No
Cold,Short,Moderate,Windy,Autumn,No
Hot,Short,Dry,Calm,Autumn,No
Cold,Long,Dry,Calm,Winter,No
Warm,Long,Wet,Breezy,Winter,No
Warm,Medium,Dry,Windy,Summer,No
Hot,Long,Moderate,Windy,Summer,No
Hot,Long,Dry,Breezy,Summer,No
Cold,Short,Dry,Breezy,Spring,No
Warm,Medium,Dry,Breezy,Spring,No
Warm,Long,Moderate,Windy,Winter,No
Hot,Medium,Wet,Breezy,Winter,No
Warm,Short,Moderate,Windy,Summer,No
Hot,Long,Dry,Breezy,Summer,No
Hot,Medium,Wet,Windy,Spring,No
Hot,Long,Moderate,Calm,Winter,No
Cold,Medium,Moderate,Calm,Summer,No
Hot,Long,Dry,Windy,Summer,No
Cold,Long,Wet,Breezy,Winter,No
Hot,Long,Moderate,Windy,Winter,No
Warm,Medium,Wet,Calm,Spring,No
Hot,Medium,Dry,Calm,Autumn,No
Hot,Medium,Moderate,Calm,Spring,No
Hot,Short,Wet,Windy,Winter,No
Hot,Medium,Wet,Breezy,Winter,No
Cold,Medium,Wet,Calm,Summer,No
Warm,Short,Moderate,Calm,Summer,No
Warm,Short,Wet,Calm,Winter,No
Hot,Short,Wet,Windy,Autumn,No
Hot,Medium,Moderate,Calm,Summer,No
Warm,Short,Wet,Breezy,Summer,No
Hot,Medium,Moderate,Calm,Spring,No
Hot,Long,Dry,Windy,Spring,No
Warm,Short,Dry,Calm,Summer,No
Cold,Medium,Moderate,Calm,Summer,No
Hot,Long,Dry,Calm,Summer,No
Cold,Short,Wet,Windy,Summer,No
Warm,Medium,Moderate,Calm,Winter,No
Warm,Medium,Wet,Breezy,Autumn,No
Hot,Long,Wet,Breezy,Spring,No
Hot,Short,Moderate,Calm,Spring,No
Hot,Short,Wet,Windy,Summer,No
Hot,Short,Wet,Windy,Summer,No
Hot,Medium,Wet,Windy,Winter,Yes
Cold,Medium,Moderate,Breezy,Summer,No
Hot,Short,Wet,Windy,Spring,No
Hot,Medium,Dry,Breezy,Summer,No
Hot,Long,Wet,Breezy,Winter,No
Cold,Short,Moderate,Breezy,Summer,No
Hot,Short,Wet,Calm,Autumn,Yes
Hot,Long,Dry,Windy,Winter,No
Warm,Long,Dry,Calm,Spring,No
Hot,Medium,Wet,Calm,Autumn,Yes
Hot,Long,Moderate,Calm,Winter,Yes
Cold,Long,Moderate,Windy,Summer,No
Cold,Short,Wet,Windy,Autumn,No
Hot,Medium,Moderate,Breezy,Autumn,No
Cold,Medium,Wet,Calm,Spring,No
Hot,Short,Dry,Windy,Autumn,No
Cold,Medium,Dry,Calm,Summer,No
Cold,Long,Moderate,Windy,Winter,Yes
Hot,Medium,Wet,Windy,Summer,No
Warm,Medium,Moderate,Windy,Winter,No
Warm,Medium,Wet,Windy,Summer,No
Warm,Short,Wet,Calm,Summer,No
Hot,Medium,Moderate,Calm,Spring,No
Hot,Medium,Dry,Breezy,Summer,No
Hot,Long,Dry,Calm,Spring,No
Hot,Short,Wet,Windy,Winter,No
Cold,Long,Wet,Windy,Winter,No
Cold,Long,Dry,Breezy,Spring,No
Cold,Short,Moderate,Calm,Spring,No
Warm,Short,Wet,Calm,Summer,No
Hot,Long,Wet,Breezy,Winter,No
Hot,Short,Wet,Breezy,Spring,No
Hot,Medium,Moderate,Calm,Winter,No
Hot,Medium,Wet,Breezy,Autumn,No
Hot,Short,Wet,Breezy,Autumn,No
Hot,Medium,Dry,Breezy,Winter,No
Hot,Short,Moderate,Breezy,Summer,No
Warm,Medium,Dry,Windy,Autumn,No
Hot,Short,Dry,Calm,Autumn,No
Warm,Medium,Moderate,Breezy,Autumn,No
Cold,Short,Dry,Windy,Autumn,No
Hot,Long,Dry,Calm,Spring,Yes
Cold,Medium,Moderate,Calm,Autumn,No
Cold,Short,Dry,Windy,Winter,No
Hot,Short,Dry,Breezy,Summer,No
Cold,Short,Wet,Windy,Summer,No
Hot,Long,Wet,Breezy,Autumn,No
Hot,Short,Wet,Windy,Autumn,No
Hot,Medium,Dry,Calm,Autumn,No
Hot,Medium,Wet,Calm,Winter,No
Hot,Medium,Wet,Windy,Autumn,Yes
Warm,Short,Moderate,Breezy,Autumn,No
Hot,Short,Dry,Windy,Spring,No
Hot,Medium,Dry,Breezy,Summer,No
Hot,Medium,Moderate,Windy,Summer,No
Hot,Short,Moderate,Breezy,Spring,No
Hot,Medium,Wet,Calm,Winter,No
Warm,Medium,Wet,Windy,Winter,No
Hot,Medium,Wet,Windy,Spring,No
Hot,Medium,Moderate,Calm,Winter,No
Hot,Long,Wet,Breezy,Spring,No
Hot,Medium,Wet,Breezy,Summer,No
Hot,Medium,Wet,Breezy,Winter,No
Hot,Short,Wet,Breezy,Winter,No
Hot,Short,Wet,Calm,Summer,No
Hot,Short,Dry,Calm,Autumn,No
Cold,Medium,Wet,Calm,Winter,No
Cold,Short,Wet,Calm,Spring,No
Hot,Long,Dry,Windy,Summer,No
Hot,Long,Moderate,Calm,Summer,No
Hot,Short,Moderate,Breezy,Autumn,No
Warm,Long,Wet,Windy,Winter,No
Hot,Medium,Moderate,Calm,Autumn,No
Cold,Medium,Wet,Calm,Summer,No
Hot,Long,Dry,Windy,Spring,No
Hot,Short,Wet,Breezy,Winter,No
Warm,Short,Wet,Breezy,Winter,No
Cold,Medium,Dry,Calm,Autumn,No
Warm,Medium,Dry,Windy,Summer,No
Hot,Medium,Wet,Calm,Autumn,No
Hot,Medium,Wet,Calm,Spring,No
